Antarctic Sea-ice volume during 1992-2017													
													
Year	Month		Antarctica	         Weddell Sea	        India Ocean	Western Pacifia Ocean         Ross Sea	         B&A Seas
	11		21.89 		8.25 		2.46 		1.97 		5.84 		2.32 
	12		17.18 		6.63 		1.75 		1.68 		4.17 		1.67 
2008	1		11.16 		4.32 		1.18 		1.39 		2.57 		0.98 
	2		6.95 		3.44 		0.73 		0.99 		1.25 		0.41 
	3		9.19 		4.45 		0.87 		1.00 		2.44 		0.38 
	4		12.46 		5.85 		1.19 		1.27 		3.60 		0.82 
	5		16.63 		7.13 		1.68 		1.64 		4.93 		1.48 
	6		23.32 		9.45 		2.92 		2.24 		6.33 		2.15 
	7		27.40 		11.16 		3.56 		2.64 		7.16 		2.96 
	8		30.53 		12.41 		4.49 		2.85 		7.64 		3.55 
	9		31.30 		12.83 		4.37 		3.08 		7.88 		3.45 
	10		28.58 		11.02 		4.39 		2.95 		7.42 		2.70 
	11		22.50 		8.57 		3.36 		2.23 		5.91 		2.00 
	12		14.65 		5.35 		2.07 		1.54 		3.92 		1.32 
2009	1		9.42 		3.74 		1.17 		1.30 		2.03 		0.93 
	2		6.09 		3.01 		0.67 		0.87 		0.81 		0.52 
	3		7.18 		3.86 		0.46 		0.75 		1.89 		0.51 
	4		11.72 		5.74 		0.84 		1.12 		3.51 		0.84 
	5		16.65 		6.95 		1.74 		1.61 		4.73 		1.71 
	6		21.89 		8.91 		2.43 		1.97 		6.00 		2.61 
	7		26.38 		10.63 		3.47 		2.29 		7.08 		3.16 
	8		29.80 		12.24 		4.41 		3.02 		7.29 		3.10 
	9		30.54 		12.46 		4.65 		3.07 		7.28 		3.68 
	10		26.97 		9.74 		4.04 		2.73 		7.07 		3.40 
	11		21.33 		7.99 		3.15 		2.32 		4.70 		2.54 
	12		14.43 		5.58 		1.71 		1.99 		3.06 		1.47 
2010	1		8.70 		4.06 		0.84 		1.55 		1.72 		0.56 
	2		6.55 		3.56 		0.36 		1.30 		0.85 		0.24 
	3		6.74 		4.22 		0.33 		0.99 		1.39 		0.13 
	4		9.93 		5.29 		0.67 		1.24 		2.85 		0.63 
	5		16.28 		6.83 		1.77 		1.68 		4.66 		1.66 
	6		22.74 		9.39 		3.03 		2.05 		6.01 		2.41 
	7		27.98 		11.27 		4.22 		2.35 		7.06 		3.26 
	8		30.73 		12.15 		4.96 		2.61 		7.72 		3.97 
	9		29.46 		11.88 		4.88 		2.52 		6.92 		3.60 
	10		27.84 		9.82 		5.37 		2.49 		6.78 		3.25 
	11		23.47 		7.77 		4.44 		1.91 		5.17 		3.45 
	12		13.26 		4.22 		3.00 		1.13 		3.28 		2.32 
2011	1    CRYOSAR-2	7.64 		2.94 		1.39 		0.72 		1.14 		1.13 
	2		5.73 		3.01 		0.85 		0.56 		0.35 		0.85 
	3		5.50 		3.41 		0.98 		0.49 		0.43 		0.87 
	4		8.38 		4.47 		1.04 		0.94 		1.35 		1.18 
	5		15.30 		6.20 		1.74 		1.63 		3.64 		2.06 
	6		21.55 		8.31 		2.47 		2.22 		5.29 		2.86 
	7		26.55 		10.32 		3.54 		2.66 		6.47 		3.56 
	8		32.13 		12.32 		4.26 		3.31 		7.77 		4.09 
	9		32.29 		12.27 		4.39 		3.58 		7.36 		4.36 
	10		31.42 		11.45 		4.43 		3.21 		7.41 		4.21 
	11		23.26 		9.05 		2.90 		2.55 		5.21 		2.65 
	12		15.28 		6.64 		1.76 		1.66 		3.39 		1.81 
2012	1		8.69 		4.07 		1.01 		1.10 		1.55 		1.27 
	2		7.04 		3.42 		0.55 		0.86 		1.03 		1.06 
	3		6.40 		3.74 		0.74 		0.68 		1.07 		0.82 
	4		10.48 		5.28 		0.84 		1.32 		2.47 		1.03 
	5		15.72 		6.94 		1.47 		1.87 		4.29 		1.33 
	6		22.19 		9.44 		2.54 		2.51 		5.36 		2.29 
	7		29.81 		12.01 		3.65 		3.16 		7.24 		3.42 
	8		31.54 		13.49 		4.42 		3.56 		7.38 		4.25 
	9		33.94 		14.18 		4.79 		3.99 		7.94 		4.12 
	10		30.31 		12.49 		4.51 		3.40 		7.08 		3.75 
	11		23.53 		9.51 		3.08 		2.58 		5.27 		3.04 
	12		15.81 		6.46 		1.47 		2.09 		3.58 		1.75 
2013	1		8.76 		3.99 		0.54 		1.78 		2.01 		0.71 
	2		7.83 		3.50 		0.23 		1.93 		1.54 		0.39 
	3		7.32 		3.53 		0.31 		1.56 		1.97 		0.27 
	4		10.25 		4.61 		0.70 		2.24 		3.23 		0.63 
	5		17.17 		7.03 		1.49 		2.51 		4.87 		1.44 
	6		22.32 		9.09 		2.27 		3.22 		6.15 		2.27 
	7		30.26 		11.69 		3.76 		3.69 		7.70 		3.73 
	8		33.94 		13.56 		4.78 		3.95 		8.02 		4.18 
	9		34.85 		14.15 		5.03 		4.09 		7.92 		4.42 
	10		34.60 		14.02 		4.69 		4.35 		7.71 		3.92 
	11		27.42 		10.28 		3.68 		3.53 		5.63 		3.94 
	12		17.73 		7.31 		2.09 		2.42 		3.68 		2.43 
2014	1		10.31 		5.19 		1.20 		1.65 		1.75 		0.82 
	2		8.71 		5.00 		0.71 		1.30 		0.68 		0.35 
	3		7.08 		5.11 		0.72 		0.94 		1.06 		0.48 
	4		11.34 		6.45 		0.89 		1.62 		2.63 		0.86 
	5		17.42 		8.35 		1.41 		2.26 		4.34 		1.63 
	6		24.37 		10.46 		2.56 		3.21 		5.73 		2.63 
	7		29.36 		12.47 		3.69 		3.61 		6.85 		3.58 
	8		32.60 		13.66 		4.44 		4.03 		7.54 		3.95 
	9		34.87 		14.27 		4.89 		3.93 		8.81 		3.70 
	10		33.18 		13.28 		5.02 		3.46 		7.67 		3.55 
	11		25.09 		9.92 		3.09 		2.26 		6.26 		2.95 
	12		17.55 		7.25 		1.78 		1.65 		4.73 		2.07 
2015	1		11.55 		5.25 		1.07 		1.48 		2.40 		1.07 
	2		8.09 		4.51 		0.54 		1.21 		0.83 		0.72 
	3		8.14 		5.08 		0.47 		1.04 		1.11 		0.69 
	4		12.65 		6.53 		0.99 		1.52 		2.94 		0.95 
	5		18.69 		8.86 		1.79 		2.05 		4.73 		1.60 
	6		24.47 		10.71 		2.39 		2.63 		6.12 		2.91 
	7		29.96 		12.67 		3.76 		3.05 		7.00 		4.07 
	8		33.45 		14.48 		4.23 		3.14 		6.91 		4.99 
	9		32.43 		14.08 		4.59 		3.11 		6.60 		5.00 
	10		30.03 		13.15 		4.02 		2.98 		6.54 		3.84 
	11		22.37 		9.95 		2.77 		2.19 		4.63 		2.66 
	12		14.40 		6.43 		1.24 		1.70 		2.66 		2.14 
2016	1		7.37 		3.25 		0.55 		1.10 		1.20 		1.14 
	2		5.73 		3.23 		0.22 		0.81 		0.68 		0.72 
	3		6.88 		3.65 		0.35 		0.89 		1.00 		0.79 
	4		10.69 		4.97 		0.74 		1.38 		2.36 		1.56 
	5		15.41 		7.06 		1.58 		1.87 		3.60 		1.63 
	6		22.01 		8.89 		2.32 		2.49 		5.17 		2.58 
	7		26.71 		11.01 		2.98 		2.86 		6.02 		3.22 
	8		31.43 		12.69 		3.82 		3.49 		7.25 		3.98 
	9		30.30 		12.26 		4.01 		3.42 		6.65 		3.89 
	10		27.49 		10.78 		3.75 		2.87 		6.20 		3.30 
	11		19.08 		6.86 		2.22 		2.04 		4.39 		2.35 
	12		11.11 		4.05 		0.92 		1.63 		2.71 		1.58 
2017	1		6.69 		2.77 		0.59 		1.46 		0.83 		0.91 
	2		5.22 		2.84 		0.33 		1.37 		0.14 		0.62 
	3		5.16 		2.91 		0.19 		1.33 		0.22 		0.39 
	4		7.85 		4.13 		0.54 		1.45 		1.20 		0.56 
	5		14.58 		6.75 		1.38 		2.04 		3.32 		0.92 
	6		22.22 		9.61 		2.93 		2.61 		5.50 		1.61 
	7		28.58 		11.63 		4.06 		2.61 		6.52 		3.40 
	8		32.58 		12.85 		5.11 		3.31 		6.84 		4.19 
	9		34.06 		12.50 		5.75 		3.04 		7.00 		5.42 
	10		31.53 		10.76 		5.37 		3.36 		6.78 		5.05 
	11		25.39 		9.34 		3.61 		2.46 		6.10 		3.77 
	12		14.33 		5.26 		1.75 		1.52 		3.90 		2.49 
